id,emp_id,date,hours_worked
1,101,2022-02-01,0
2,102,2022-02-01,0
3,103,2022-02-01,0
4,104,2022-02-01,0
5,105,2022-02-01,0
6,106,2022-02-01,0
7,107,2022-02-01,0
8,108,2022-02-01,0
9,109,2022-02-01,0
10,110,2022-02-01,0
11,111,2022-02-01,0
12,112,2022-02-01,0
13,113,2022-02-01,0
14,114,2022-02-01,0
15,115,2022-02-01,0
16,116,2022-02-01,0
17,117,2022-02-01,0
18,118,2022-02-01,0
19,119,2022-02-01,0
20,120,2022-02-01,0
21,101,2022-02-02,0
22,102,2022-02-02,0
23,103,2022-02-02,0
24,104,2022-02-02,0
25,105,2022-02-02,0
26,106,2022-02-02,0
27,107,2022-02-02,0
28,108,2022-02-02,0
29,109,2022-02-02,0
30,110,2022-02-02,0
31,111,2022-02-02,0
32,112,2022-02-02,0
33,113,2022-02-02,0
34,114,2022-02-02,0
35,115,2022-02-02,0
36,116,2022-02-02,0
37,117,2022-02-02,0
38,118,2022-02-02,0
39,119,2022-02-02,0
40,120,2022-02-02,0
41,101,2022-02-03,0
42,102,2022-02-03,0
43,103,2022-02-03,0
44,104,2022-02-03,0
45,105,2022-02-03,0
46,106,2022-02-03,0
47,107,2022-02-03,0
48,108,2022-02-03,0
49,109,2022-02-03,0
50,110,2022-02-03,0
51,111,2022-02-03,0
52,112,2022-02-03,0
53,113,2022-02-03,0
54,114,2022-02-03,0
55,115,2022-02-03,0
56,116,2022-02-03,0
57,117,2022-02-03,0
58,118,2022-02-03,0
59,119,2022-02-03,0
60,120,2022-02-03,0
61,101,2022-02-04,0
62,102,2022-02-04,0
63,103,2022-02-04,0
64,104,2022-02-04,0
65,105,2022-02-04,0
66,106,2022-02-04,0
67,107,2022-02-04,0
68,108,2022-02-04,0
69,109,2022-02-04,0
70,110,2022-02-04,0
71,111,2022-02-04,0
72,112,2022-02-04,0
73,113,2022-02-04,0
74,114,2022-02-04,0
75,115,2022-02-04,0
76,116,2022-02-04,0
77,117,2022-02-04,0
78,118,2022-02-04,0
79,119,2022-02-04,0
80,120,2022-02-04,0
81,101,2022-02-05,0
82,102,2022-02-05,0
83,103,2022-02-05,0
84,104,2022-02-05,0
85,105,2022-02-05,0
86,106,2022-02-05,0
87,107,2022-02-05,0
88,108,2022-02-05,0
89,109,2022-02-05,0
90,110,2022-02-05,0
91,111,2022-02-05,0
92,112,2022-02-05,0
93,113,2022-02-05,0
94,114,2022-02-05,0
95,115,2022-02-05,0
96,116,2022-02-05,0
97,117,2022-02-05,0
98,118,2022-02-05,0
99,119,2022-02-05,0
100,120,2022-02-05,0
101,101,2022-02-06,0
102,102,2022-02-06,0
103,103,2022-02-06,0
104,104,2022-02-06,0
105,105,2022-02-06,0
106,106,2022-02-06,0
107,107,2022-02-06,0
108,108,2022-02-06,0
109,109,2022-02-06,0
110,110,2022-02-06,0
111,111,2022-02-06,0
112,112,2022-02-06,0
113,113,2022-02-06,0
114,114,2022-02-06,0
115,115,2022-02-06,0
116,116,2022-02-06,0
117,117,2022-02-06,0
118,118,2022-02-06,0
119,119,2022-02-06,0
120,120,2022-02-06,0
121,101,2022-02-07,0
122,102,2022-02-07,0
123,103,2022-02-07,0
124,104,2022-02-07,0
125,105,2022-02-07,0
126,106,2022-02-07,0
127,107,2022-02-07,0
128,108,2022-02-07,0
129,109,2022-02-07,0
130,110,2022-02-07,0
131,111,2022-02-07,0
132,112,2022-02-07,0
133,113,2022-02-07,0
134,114,2022-02-07,0
135,115,2022-02-07,0
136,116,2022-02-07,0
137,117,2022-02-07,0
138,118,2022-02-07,0
139,119,2022-02-07,0
140,120,2022-02-07,0
141,101,2022-02-08,0
142,102,2022-02-08,0
143,103,2022-02-08,0
144,104,2022-02-08,0
145,105,2022-02-08,0
146,106,2022-02-08,0
147,107,2022-02-08,0
148,108,2022-02-08,0
149,109,2022-02-08,0
150,110,2022-02-08,0
151,111,2022-02-08,0
152,112,2022-02-08,0
153,113,2022-02-08,0
154,114,2022-02-08,0
155,115,2022-02-08,0
156,116,2022-02-08,0
157,117,2022-02-08,0
158,118,2022-02-08,0
159,119,2022-02-08,0
160,120,2022-02-08,0
161,101,2022-02-09,0
162,102,2022-02-09,0
163,103,2022-02-09,0
164,104,2022-02-09,0
165,105,2022-02-09,0
166,106,2022-02-09,0
167,107,2022-02-09,0
168,108,2022-02-09,0
169,109,2022-02-09,0
170,110,2022-02-09,0
171,111,2022-02-09,0
172,112,2022-02-09,0
173,113,2022-02-09,0
174,114,2022-02-09,0
175,115,2022-02-09,0
176,116,2022-02-09,0
177,117,2022-02-09,0
178,118,2022-02-09,0
179,119,2022-02-09,0
180,120,2022-02-09,0
