//id,emp_id,leave_balance,leave_used,startDate,endDate,status
1,101,8,0,2022-02-01,2022-02-02,pending
2,102,8,0,2022-02-15,2022-02-19,pending
3,103,8,0,2022-02-01,2022-02-05,pending
4,104,8,0,2022-02-01,2022-02-03,pending
5,105,8,0,2022-02-01,2022-02-03,pending
6,106,8,0,2022-02-01,2022-02-05,pending
7,107,8,0,2022-02-01,2022-02-02,pending
8,108,8,0,2023-02-01,2022-02-03,pending
9,109,8,0,2023-02-01,2022-02-02,pending
10,110,8,0,2022-02-01,2022-02-04,pending
11,111,8,0,2022-02-01,2022-02-02,pending
12,112,8,0,2022-02-15,2022-02-19,pending
13,113,8,0,2022-02-01,2022-02-05,pending
14,114,8,0,2022-02-01,2022-02-03,pending
15,115,8,0,2022-02-01,2022-02-03,pending
16,116,8,0,2022-02-01,2022-02-05,pending
17,117,8,0,2022-02-01,2022-02-02,pending
18,118,8,0,2022-02-01,2022-02-03,pending
19,119,8,0,2022-02-01,2022-02-02,pending
20,120,8,0,2022-02-01,2022-02-04,pending
